CurrentPath,CurrentName,ProposedTSI01Path,ProposedName,Status,Error
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 08 - ACP v3 (AI Continuity Protocol)\1. SCOPE,Agent and Automation Scope Document.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_83fd858c.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 08 - ACP v3 (AI Continuity Protocol)\4. AI FAILURE PREVENTION RULES (ZERO-DRIFT SYSTEM),AI Failure Prevention Rules (Zero-Drift System).gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_11104d09.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 08 - ACP v3 (AI Continuity Protocol)\7. VERSION HISTORY,Version History.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_3de66832.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 08 - ACP v3 (AI Continuity Protocol)\8. SUMMARY,ACP v3 Guarantees Summary.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_103bb821.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 08 - ACP v3 (AI Continuity Protocol)\2. ACP v3 — MEMORY CHAIN (MANDATORY),ACP v3 — MEMORY CHAIN (MANDATORY).gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_8c9df59b.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 06 - AI-Integrated Workflows (Draft)\2. Master Workflow List (OS-06-A),Master Workflow List (OS-06-A).gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_d0b7b556.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 06 - AI-Integrated Workflows (Draft)\1. AI Workflow Architecture Overview,AI Workflow Architecture Overview.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_92f7cd38.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 06 - AI-Integrated Workflows (Draft)\5. Workflow Templates,Workflow Templates.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_8bd688fd.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 06 - AI-Integrated Workflows (Draft)\3. Permissions Map (OS-06-B),Permissions Map (OS-06-B).gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_9bc60309.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 1 — System Overview & Purpose\1.2 Role in the TSI Ecosystem,TSI — SAI-COM ROLE IN THE ECOSYSTEM.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_b7075880.gdoc,OK,
