CurrentPath,CurrentName,ProposedTSI01Path,ProposedName,Status,Error
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 3 — AI ORCHESTRATION LAYER\3.3 Risk Classification Agent,TSI — RISK CLASSIFICATION AGENT v1.0 MASTER.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_1ace7e05.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 6 — User Hierarchy & Permissions\6.3 Site Managers,TSI — USER PERMISSIONS  SITE MANAGERS.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_c7472743.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 6 — User Hierarchy & Permissions\6.4 Contractors,TSI — USER PERMISSIONS  CONTRACTORS v1.0 MASTER.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_64b69495.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 6 — User Hierarchy & Permissions\6.1 Workers,TSI—USER PERMISSIONS  WORKERS.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_41aa7250.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 6 — User Hierarchy & Permissions\6.5 Admin   TSI Staff,TSI — USER PERMISSIONS  ADMIN   TSI STAFF.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_67f42534.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 6 — User Hierarchy & Permissions\6.2 Supervisors,TSI — USER PERMISSIONS  SUPERVISORS.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_5bfd1849.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 2 — CORE ARCHITECTURE BLUEPRINT\2.1 High-Level System Diagram,TSI — SAI-COM HIGH-LEVEL SYSTEM DIAGRAM v1.0 MASTER.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_455a96d9.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 2 — CORE ARCHITECTURE BLUEPRINT\2.3 Data Flow Models (Text + Vision + Sensors),TSI - SAI-COM DATA FLOW MODELS.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_eab56919.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 2 — CORE ARCHITECTURE BLUEPRINT\2.4 SAI-COM to SAI Communication Model,TSI — SAI-COM TO SAI COMMUNICATION MODEL.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_1d484642.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 2 — CORE ARCHITECTURE BLUEPRINT\2.5 Device Integration Gateway (Smart Tools),TSI — DEVICE INTEGRATION GATEWAY (SMART TOOLS).gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_532a6796.gdoc,OK,
