CurrentPath,CurrentName,ProposedTSI01Path,ProposedName,Status,Error
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 7 — DASHBOARDS & USER INTERFACE\7.2 Supervisor Dashboard,TSI — SUPERVISOR DASHBOARD v1.0 MASTER.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_083e64dd.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 7 — DASHBOARDS & USER INTERFACE\7.4 Contractor Onboarding Dashboard,TSI — CONTRACTOR ONBOARDING DASHBOARD v1.0 MASTER.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_05a067bf.gdoc,OK,
"G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 9 — Versioning, Environments & DevOps\9.4 Logging & Monitoring",TSI — LOGGING & MONITORING FRAMEWORK.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_6d7cc642.gdoc,OK,
"G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 9 — Versioning, Environments & DevOps\9.3 Database Migration Patterns",TSI — DATABASE MIGRATION PATTERNS.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_6a073a1f.gdoc,OK,
"G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 9 — Versioning, Environments & DevOps\9.1 Environments (Dev, Stage, Prod)",TSI — ENVIRONMENTS STRUCTURE (DEV → STAGE → PROD).gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_f9e0ca85.gdoc,OK,
"G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 9 — Versioning, Environments & DevOps\9.2 Deployment Pipeline",TSI — DEPLOYMENT PIPELINE v1.0 MASTER.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_78126c34.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 3 — AI ORCHESTRATION LAYER\3.4 Vision Processing Agent,TSI — VISION PROCESSING AGENT v1.0 MASTER.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_608b0faa.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 3 — AI ORCHESTRATION LAYER\3.1 MCP   ADA Agent Structure,TSI — MCP   ADA AGENT STRUCTURE v1.0 MASTER.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_3b2d44bf.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 3 — AI ORCHESTRATION LAYER\3.2 SAI Orchestration Nodes,TSI — SAI ORCHESTRATION NODES.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_edfe42ef.gdoc,OK,
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 3 — AI ORCHESTRATION LAYER\3.5 IMS Compliance Agent,TSI — IMS COMPLIANCE AGENT v1.0 MASTER.gdoc.lnk,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_1e4de803.lnk,OK,
