CurrentPath,CurrentName,ProposedTSI01Path,ProposedName,Status,Error
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\8. ARCHIVAL RULES (OS-07-E),Archival Rules (OS-07-E).gdoc,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,Archival Rules (OS-07-E).gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\7. AI RULES FOR CHANGE CONTROL (OS-07-D),AI Rules for Change Control (OS-07-D).gdoc,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,AI Rules for Change Control (OS-07-D).gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\10. OS-07 MASTER SUMMARY,OS-07 MASTER SUMMARY.gdoc,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,OS-07 MASTER SUMMARY.gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\6. CHANGE IMPLEMENTATION WORKFLOW (OS-07-C),Change Implementation Workflow (OS-07-C).gdoc,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,Change Implementation Workflow (OS-07-C).gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\3. VERSIONING RULES (MANDATORY),Document Versioning Rules.gdoc,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,Document Versioning Rules.gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\2. CHANGE CONTROL PRINCIPLES,Change Control Principles.gdoc,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,Change Control Principles.gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-04 — Responsibilities Matrix,TSI-OS 04-04 — Responsibilities Matrix (v1.0).gdoc,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 04-04 — Responsibilities Matrix (v1.0).gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-03 — Escalation Flows,TSI-OS 04-03 — Escalation Flows (v1.0).gdoc,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 04-03 — Escalation Flows (v1.0).gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-02 — Decision Authority Matrix,TSI-OS 04-02 — Decision Authority Matrix (v1.0).gdoc,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 04-02 — Decision Authority Matrix (v1.0).gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-01 — Command Levels,TSI-OS 04-01 — Command Levels (v1.0).gdoc,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 04-01 — Command Levels (v1.0).gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
