BatchId,SourceDrive,CurrentPath,CurrentName,CurrentType,ProposedTSI01Path,ProposedName,RenameReason,Confidence,Decision,CanonicalSecurityLocation
Batch_MIGRATE_1__Corporate_2026-03-02_08-32-18_seq12,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-01 — Command Levels\Level 4 Projects,dir,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,Level 4 Projects,Migrate: 1. Corporate to DocControl,High,SKIP_PRECHECK,Internal
Batch_MIGRATE_1__Corporate_2026-03-02_08-32-18_seq12,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-01 — Command Levels\Level 3 Portfolio Leads,dir,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,Level 3 Portfolio Leads,Migrate: 1. Corporate to DocControl,High,SKIP_PRECHECK,Internal
Batch_MIGRATE_1__Corporate_2026-03-02_08-32-18_seq12,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-01 — Command Levels\Level 2 Exec,dir,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,Level 2 Exec,Migrate: 1. Corporate to DocControl,High,SKIP_PRECHECK,Internal
Batch_MIGRATE_1__Corporate_2026-03-02_08-32-18_seq12,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-01 — Command Levels\Level 1 Board,dir,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,Level 1 Board,Migrate: 1. Corporate to DocControl,High,SKIP_PRECHECK,Internal
Batch_MIGRATE_1__Corporate_2026-03-02_08-32-18_seq12,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-01 — Command Levels\TSI-OS 04-01 — Command Levels (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI-OS 04-01 — Command Levels (v1.0).gdoc,Migrate: 1. Corporate to DocControl,High,EXECUTE,Internal
Batch_MIGRATE_1__Corporate_2026-03-02_08-32-18_seq12,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-08  TSI Divisions\TSI-OS 01-08 — TSI Divisions Overview (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI-OS 01-08 — TSI Divisions Overview (v1.0).gdoc,Migrate: 1. Corporate to DocControl,High,EXECUTE,Internal
Batch_MIGRATE_1__Corporate_2026-03-02_08-32-18_seq12,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-07  Training Matrix\TSI-OS 01-07 — Training Matrix.gsheet,File,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI-OS 01-07 — Training Matrix.gsheet,Migrate: 1. Corporate to DocControl,High,EXECUTE,Internal
Batch_MIGRATE_1__Corporate_2026-03-02_08-32-18_seq12,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-03  Division Leads\TSI-OS 01-03 — Division Leads Register (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI-OS 01-03 — Division Leads Register (v1.0).gdoc,Migrate: 1. Corporate to DocControl,High,EXECUTE,Internal
Batch_MIGRATE_1__Corporate_2026-03-02_08-32-18_seq12,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-01  AI Behaviour & Instruction Register (for ChatGPT continuity)\AI Behavior Register.gsheet,File,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,AI Behavior Register.gsheet,Migrate: 1. Corporate to DocControl,High,EXECUTE,Internal
Batch_MIGRATE_1__Corporate_2026-03-02_08-32-18_seq12,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-02  Decision Control Register\Decision Control Register.gsheet,File,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,Decision Control Register.gsheet,Migrate: 1. Corporate to DocControl,High,EXECUTE,Internal
