BatchId,SourceDrive,CurrentPath,CurrentName,CurrentType,ProposedTSI01Path,ProposedName,RenameReason,Confidence,Decision,CanonicalSecurityLocation
Batch_MIGRATE_1__Corporate_2026-03-02_06-30-29_seq15,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 02 - Governance Rules for AI Assistants\TSI-OS 02-03 — Instruction Chain Hierarchy\TSI-OS 02-03 — Instruction Chain Hierarchy.gdoc,File,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI-OS 02-03 — Instruction Chain Hierarchy.gdoc,Migrate: 1. Corporate to DocControl,High,EXECUTE,Internal
Batch_MIGRATE_1__Corporate_2026-03-02_06-30-29_seq15,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 03 - DocControl Standard Operating Procedure (v1)\TSI-OS 03-06 — Legal Documents Standard\TSI-OS 03-06 — Legal Documents Standard (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI-OS 03-06 — Legal Documents Standard (v1.0).gdoc,Migrate: 1. Corporate to DocControl,High,EXECUTE,Internal
Batch_MIGRATE_1__Corporate_2026-03-02_06-30-29_seq15,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 03 - DocControl Standard Operating Procedure (v1)\TSI-OS 03-04 — Approval Workflow\TSI-OS 03-04 — Approval Workflow (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI-OS 03-04 — Approval Workflow (v1.0).gdoc,Migrate: 1. Corporate to DocControl,High,EXECUTE,Internal
Batch_MIGRATE_1__Corporate_2026-03-02_06-30-29_seq15,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 03 - DocControl Standard Operating Procedure (v1)\TSI-OS 03-07 — Versioning Format\TSI-OS 03-07 — Versioning Format.gdoc,File,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI-OS 03-07 — Versioning Format.gdoc,Migrate: 1. Corporate to DocControl,High,EXECUTE,Internal
Batch_MIGRATE_1__Corporate_2026-03-02_06-30-29_seq15,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 03 - DocControl Standard Operating Procedure (v1)\TSI-OS 03-01 — Naming Convention\TSI-OS 03-01 — Naming Convention (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI-OS 03-01 — Naming Convention (v1.0).gdoc,Migrate: 1. Corporate to DocControl,High,EXECUTE,Internal
Batch_MIGRATE_1__Corporate_2026-03-02_06-30-29_seq15,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 03 - DocControl Standard Operating Procedure (v1)\TSI-OS 03-03 — Document Types\TSI-OS 03-03 — Document Types (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI-OS 03-03 — Document Types (v1.0).gdoc,Migrate: 1. Corporate to DocControl,High,EXECUTE,Internal
Batch_MIGRATE_1__Corporate_2026-03-02_06-30-29_seq15,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 03 - DocControl Standard Operating Procedure (v1)\TSI-OS 03-05 — Execution Only Documents\TSI-OS 03-05 — Execution Only Documents (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI-OS 03-05 — Execution Only Documents (v1.0).gdoc,Migrate: 1. Corporate to DocControl,High,EXECUTE,Internal
Batch_MIGRATE_1__Corporate_2026-03-02_06-30-29_seq15,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 03 - DocControl Standard Operating Procedure (v1)\TSI-OS 03-08 — Disposal & Archive Rules\TSI-OS 03-08 — Disposal & Archive Rules (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI-OS 03-08 — Disposal & Archive Rules (v1.0).gdoc,Migrate: 1. Corporate to DocControl,High,EXECUTE,Internal
Batch_MIGRATE_1__Corporate_2026-03-02_06-30-29_seq15,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 03 - DocControl Standard Operating Procedure (v1)\TSI-OS 03-02 — Folder Standard\TSI-OS 03-02 — Folder Standard (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI-OS 03-02 — Folder Standard (v1.0).gdoc,Migrate: 1. Corporate to DocControl,High,EXECUTE,Internal
Batch_MIGRATE_1__Corporate_2026-03-02_06-30-29_seq15,1. Corporate,G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 08 - ACP v3 (AI Continuity Protocol)\5. ERROR RECOVERY  ACP v3 RESTORE PROCEDURE\ERROR RECOVERY  ACP v3 RESTORE PROCEDURE.gdoc,File,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,ERROR RECOVERY  ACP v3 RESTORE PROCEDURE.gdoc,Migrate: 1. Corporate to DocControl,High,EXECUTE,Internal
